75,33,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,34,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,35,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,36,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,37,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,38,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,39,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,40,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,41,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,42,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,43,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
75,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 3; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
