67,11,right,[0,0: 34; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
64,24,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
63,24,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
62,24,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
62,24,left,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
62,24,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
63,24,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
64,24,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
65,24,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: 54; 0,2: _; 1,2: _; 2,2: _],turn_right
65,24,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 54],move_forward
65,25,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 54],move_forward
65,26,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 54],move_forward
65,27,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: 1; 2,2: 54],turn_left
65,27,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: _; 1,2: 1; 2,2: 54],move_forward
66,27,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 101; 2,1: _; 0,2: 1; 1,2: 54; 2,2: _],move_forward
67,27,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 101; 2,1: _; 0,2: 54; 1,2: _; 2,2: _],move_forward
68,27,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: 1; 0,2: 54; 1,2: _; 2,2: 1],turn_left
68,27,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: 1; 0,2: _; 1,2: 54; 2,2: 1],move_forward
68,26,left,[0,0: 1; 1,0: 20; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
68,26,down,[0,0: 1; 1,0: 20; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
68,26,right,[0,0: 1; 1,0: 20; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,27,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,28,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 101; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
68,28,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 101; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
68,28,left,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 101; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
68,27,left,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 101; 2,1: 1; 0,2: _; 1,2: _; 2,2: 1],move_forward
68,26,left,[0,0: 1; 1,0: 20; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
68,26,down,[0,0: 1; 1,0: 20; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],turn_left
68,26,right,[0,0: 1; 1,0: 20; 2,0: _; 0,1: 1; 1,1: 101; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
