86,44,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
86,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 7; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
86,45,up,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 7; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
87,45,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 7; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
88,45,up,[0,0: _; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
89,45,up,[0,0: 1; 1,0: 1; 2,0: 1; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
90,45,up,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
91,45,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
92,45,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],turn_right
92,45,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: 1; 0,2: _; 1,2: _; 2,2: _],move_forward
92,46,right,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
92,47,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],turn_right
92,47,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: 1; 1,2: 1; 2,2: _],move_forward
91,47,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: 1; 2,2: 1],move_forward
90,47,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
89,47,down,[0,0: _; 1,0: _; 2,0: _; 0,1: 1; 1,1: 7; 2,1: _; 0,2: _; 1,2: _; 2,2: _],turn_right
