92,2,right,[0,0: 1; 1,0: 1; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
94,8,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
93,8,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 33; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
93,8,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 33; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
93,8,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 33; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],move_forward
94,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
95,8,up,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
96,8,up,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
97,8,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
98,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
98,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_left
98,8,up,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
98,8,right,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],turn_right
98,8,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: 1; 0,2: _; 1,2: 1; 2,2: _],move_forward
97,8,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: 1],move_forward
96,8,down,[0,0: _; 1,0: 1; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
95,8,down,[0,0: _; 1,0: _; 2,0: 1; 0,1: _; 1,1: 33; 2,1: _; 0,2: _; 1,2: _; 2,2: _],move_forward
94,8,down,[0,0: _; 1,0: _; 2,0: _; 0,1: _; 1,1: 33; 2,1: _; 0,2: 1; 1,2: _; 2,2: _],move_forward
93,8,down,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 33; 2,1: _; 0,2: 60; 1,2: 1; 2,2: _],turn_left
93,8,right,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 33; 2,1: _; 0,2: _; 1,2: 1; 2,2: _],turn_left
93,8,up,[0,0: 1; 1,0: _; 2,0: _; 0,1: 1; 1,1: 33; 2,1: _; 0,2: 60; 1,2: 1; 2,2: _],move_forward
